Q29505259	Q811979
Q114508119	Q21191270
Q99904631	Q7604686
Q48967593	Q16521
Q126134081	Q3305213
Q83071136	Q11173
Q67463843	Q13442814
Q119298104	Q6671777
Q20724257	Q28923954
Q35387475	Q15324
Q124067419	Q7889
Q66585646	Q21073937
Q1530131	Q41176
Q61891310	Q591041
Q19476005	Q79007
Q56643054	Q811979
Q126434188	Q4167836
Q81901937	Q215627
Q40963634	Q13442814
Q126058059	Q215627
Q115949169	Q79007
Q89568492	Q215627
Q91557078	Q215627
Q13557771	Q16521
Q8296580	Q4167836
Q63616372	Q4167836
Q2963205	Q47574
Q13390650	Q16521
Q19997507	Q215627
Q123959440	Q3914
Q123539886	Q7604686
Q119931459	Q3305213
Q124969357	Q811102
Q110489641	Q4167836
Q66880647	Q21073937
Q28311906	Q271669
Q66315838	Q41176
Q82022896	Q11173
Q15772663	Q16521
Q23244348	Q20747295
Q40520490	Q591041
Q11027443	Q532
Q87797603	Q523
Q23354707	Q7187
Q35291654	Q15324
Q67914413	Q13442814
Q106803539	Q4167836
Q97615968	Q187685
Q64001013	Q220659
Q22761177	Q11266439
Q23669132	Q4167410
Q15704276	Q532
Q37917084	Q39614
Q109941056	Q19389637
Q59415486	Q11862829
Q72497198	Q13442814
Q83639591	Q756
Q7608882	Q4167410
Q16460386	Q4167410
Q9625362	Q16521
Q98168714	Q4989906
Q77483486	Q11173
Q1388201	Q47345468
Q123525253	Q3914
Q107743716	Q7889
Q45316653	Q2996394
Q12691137	Q123964505
Q1319899	Q16510064
Q80677024	Q6999
Q43620935	Q174782
Q77843253	Q523
Q87127692	Q523
Q17091380	Q95074
Q16277783	Q4167410
Q98890349	Q101352
Q50374043	Q8054
Q81250644	Q318
Q121094377	Q3231690
Q83671981	Q42372
Q106022275	Q11173
Q104621212	Q202444
Q87980868	Q318
Q63892817	Q95074
Q86749915	Q4235019
Q82741953	Q11173
Q29088308	Q8502
Q7572371	Q1555508
Q111006769	Q7187
Q108255354	Q15184295
Q54923619	Q189082
Q21668199	Q125191
